127.0.0.1 - - [12/Oct/2023:13:27:34 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:27:37 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:28:05 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:28:09 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1271
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:28:09 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:28:14 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:28:17 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:28:17 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5709
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:28:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:29:34 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:29:34 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:29:34 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:29:51 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5709
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:31:34 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5709
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:31:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:32:15 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5838
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:32:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:00 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:10 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:10 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:15 +0530] "GET /ORS_Project4/doc/index.html HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:15 +0530] "GET /ORS_Project4/doc/stylesheet.css HTTP/1.1" 200 23177
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:15 +0530] "GET /ORS_Project4/doc/script.js HTTP/1.1" 200 5192
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:15 +0530] "GET /ORS_Project4/doc/jquery/jquery-ui.css HTTP/1.1" 200 20275
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:15 +0530] "GET /ORS_Project4/doc/jquery/jszip-utils/dist/jszip-utils.min.js HTTP/1.1" 200 1777
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:15 +0530] "GET /ORS_Project4/doc/jquery/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:15 +0530] "GET /ORS_Project4/doc/jquery/jquery-ui.js HTTP/1.1" 200 71563
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:15 +0530] "GET /ORS_Project4/doc/jquery/jszip/dist/jszip.min.js HTTP/1.1" 200 96937
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:15 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:15 +0530] "GET /ORS_Project4/doc/jquery/jszip/dist/jszip.js HTTP/1.1" 200 97649
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:15 +0530] "GET /ORS_Project4/doc/jquery/jszip-utils/dist/jszip-utils.js HTTP/1.1" 200 4483
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:15 +0530] "GET /ORS_Project4/doc/search.js HTTP/1.1" 200 12628
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:15 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:15 +0530] "GET /ORS_Project4/doc/package-search-index.zip HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:15 +0530] "GET /ORS_Project4/doc/type-search-index.zip HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:15 +0530] "GET /ORS_Project4/doc/member-search-index.zip HTTP/1.1" 200 6751
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:15 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:15 +0530] "GET /ORS_Project4/doc/resources/glass.png HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:15 +0530] "GET /ORS_Project4/doc/resources/x.png HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:15 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:15 +0530] "GET /ORS_Project4/doc/package-search-index.js HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:16 +0530] "GET /ORS_Project4/doc/type-search-index.js HTTP/1.1" 200 3709
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:16 +0530] "GET /ORS_Project4/doc/member-search-index.js HTTP/1.1" 200 79494
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:16 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:20 +0530] "GET /ORS_Project4/doc/com/rays/pro4/Bean/package-summary.html HTTP/1.1" 200 8262
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:20 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:20 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:20 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:20 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:20 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:26 +0530] "GET /ORS_Project4/doc/com/rays/pro4/Bean/BaseBean.html HTTP/1.1" 200 20547
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:26 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:26 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:26 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:26 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:26 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:49:40 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
